filepath,num_nodes,num_edges,num_labeled_nodes,num_unlabeled_nodes,boundary_1_count,boundary_1_ratio_total,boundary_1_ratio_labeled,num_unique_partitions,graph_density,num_louvain_communities,Family,Design,Library,Nodes,BR,PR-AUC
graphs_final/other_graphs_final/nextz80_latest/osu035/N8080_Reg_combined_m1.gml,1145,2429,1013,132,182,0.1589519650655022,0.1796643632773938,7,0.0018543683390844,12,nextz80_latest,N8080_Reg,osu035,1145.0,0.18,0.79
graphs_final/other_graphs_final/nextz80_latest/osu035/Next8080_combined_m1.gml,2345,5508,2307,38,447,0.1906183368869936,0.1937581274382314,11,0.0010020594249619,10,nextz80_latest,Next8080,osu035,2345.0,0.19,0.48
graphs_final/other_graphs_final/nextz80_latest/osu035/NextZ80_combined_m1.gml,4363,10513,4323,40,609,0.1395828558331423,0.1408743927827897,11,0.0005524026968895,14,nextz80_latest,NextZ80,osu035,4363.0,0.14,0.35
graphs_final/other_graphs_final/nextz80_latest/osu035/Z80Reg_combined_m1.gml,2334,5414,2195,139,240,0.1028277634961439,0.1093394077448747,7,0.0009942661658239,16,nextz80_latest,Z80Reg,osu035,2334.0,0.11,0.68
graphs_final/other_graphs_final/openmsp430_latest/gscl45nm/altera_reset_controller_combined_m1.gml,41,43,36,5,22,0.5365853658536586,0.6111111111111112,5,0.0262195121951219,5,openmsp430_latest,altera_reset_controller,gscl45nm,41.0,0.61,0.67
graphs_final/other_graphs_final/openmsp430_latest/gscl45nm/ogfx_backend_combined_m1.gml,2432,5433,2272,160,79,0.0324835526315789,0.0347711267605633,4,0.0009189485050553,12,openmsp430_latest,ogfx_backend,gscl45nm,2432.0,0.03,0.83
graphs_final/other_graphs_final/openmsp430_latest/gscl45nm/ogfx_gpu_combined_m1.gml,4485,10283,4396,89,282,0.062876254180602,0.0641492265696087,6,0.0005113188276512,18,openmsp430_latest,ogfx_gpu,gscl45nm,4485.0,0.06,0.66
graphs_final/other_graphs_final/openmsp430_latest/gscl45nm/ogfx_gpu_dma_combined_m1.gml,2952,6419,2772,180,167,0.0565718157181571,0.0602453102453102,5,0.0007368546237139,19,openmsp430_latest,ogfx_gpu_dma,gscl45nm,2952.0,0.06,0.44
graphs_final/other_graphs_final/openmsp430_latest/gscl45nm/omsp_dbg_combined_m1.gml,1061,3357,943,118,115,0.1083883129123468,0.1219512195121951,4,0.0029849021037469,10,openmsp430_latest,omsp_dbg,gscl45nm,1061.0,0.12,0.17
graphs_final/other_graphs_final/openmsp430_latest/gscl45nm/omsp_dbg_i2c_combined_m1.gml,431,953,383,48,18,0.0417633410672853,0.0469973890339425,4,0.0051421788161657,10,openmsp430_latest,omsp_dbg_i2c,gscl45nm,431.0,0.05,0.79
graphs_final/other_graphs_final/openmsp430_latest/gscl45nm/omsp_de0_nano_soc_led_key_sw_combined_m1.gml,914,2105,851,63,73,0.0798687089715536,0.0857814336075205,9,0.0025225229543597,13,openmsp430_latest,omsp_de0_nano_soc_led_key_sw,gscl45nm,914.0,0.09,0.74
graphs_final/other_graphs_final/openmsp430_latest/gscl45nm/omsp_execution_unit_combined_m1.gml,3456,7777,3207,249,303,0.0876736111111111,0.0944808231992516,4,0.0006513138500294,26,openmsp430_latest,omsp_execution_unit,gscl45nm,3456.0,0.09,0.45
graphs_final/other_graphs_final/openmsp430_latest/gscl45nm/omsp_timerA_combined_m1.gml,1385,3291,1325,60,152,0.1097472924187725,0.1147169811320754,8,0.0017168882118486,20,openmsp430_latest,omsp_timerA,gscl45nm,1385.0,0.11,0.6
graphs_final/other_graphs_final/openmsp430_latest/gscl45nm/omsp_uart_combined_m1.gml,863,1916,813,50,54,0.0625724217844727,0.066420664206642,3,0.002575594228303,17,openmsp430_latest,omsp_uart,gscl45nm,863.0,0.07,0.89
graphs_final/other_graphs_final/openmsp430_latest/gscl45nm/openGFX430_combined_m1.gml,14300,33014,14120,180,1258,0.0879720279720279,0.0890934844192634,18,0.0001614568381475,20,openmsp430_latest,openGFX430,gscl45nm,14300.0,0.09,0.41
graphs_final/other_graphs_final/openmsp430_latest/nangate/altera_reset_controller_combined_m1.gml,30,32,26,4,24,0.8,0.9230769230769232,5,0.0367816091954023,6,openmsp430_latest,altera_reset_controller,nangate,30.0,0.92,0.99
graphs_final/other_graphs_final/openmsp430_latest/nangate/ogfx_backend_combined_m1.gml,1914,4749,1755,159,84,0.0438871473354232,0.0478632478632478,4,0.0012970157985209,11,openmsp430_latest,ogfx_backend,nangate,1914.0,0.05,0.9
graphs_final/other_graphs_final/openmsp430_latest/nangate/ogfx_gpu_combined_m1.gml,3591,9250,3503,88,291,0.0810359231411863,0.0830716528689694,6,0.0007175164776689,14,openmsp430_latest,ogfx_gpu,nangate,3591.0,0.08,0.51
graphs_final/other_graphs_final/openmsp430_latest/nangate/ogfx_gpu_dma_combined_m1.gml,2555,6104,2392,163,150,0.0587084148727984,0.0627090301003344,5,0.0009354115488999,13,openmsp430_latest,ogfx_gpu_dma,nangate,2555.0,0.06,0.73
graphs_final/other_graphs_final/openmsp430_latest/nangate/omsp_dbg_i2c_combined_m1.gml,347,811,300,47,18,0.0518731988472622,0.06,4,0.0067548433309456,8,openmsp430_latest,omsp_dbg_i2c,nangate,347.0,0.06,0.58
graphs_final/other_graphs_final/openmsp430_latest/osu035/altera_reset_controller_combined_m1.gml,41,43,36,5,22,0.5365853658536586,0.6111111111111112,5,0.0262195121951219,5,openmsp430_latest,altera_reset_controller,osu035,41.0,0.61,0.67
graphs_final/other_graphs_final/openmsp430_latest/osu035/ogfx_backend_combined_m1.gml,2843,6838,2683,160,95,0.0334154062609919,0.0354081252329481,4,0.0008463074484709,13,openmsp430_latest,ogfx_backend,osu035,2843.0,0.04,0.84
graphs_final/other_graphs_final/openmsp430_latest/osu035/ogfx_gpu_combined_m1.gml,5595,13626,5506,89,333,0.0595174262734584,0.0604794769342535,6,0.0004353573006697,15,openmsp430_latest,ogfx_gpu,osu035,5595.0,0.06,0.46
