"DesignName","Gates","Edges","DesignPath","CellLib","FileType","Category","Time","Inputs","Outputs","NrDffs"
"automated_osu035_cookbook_final_uart_tx",194,406,"./automated_osu035/automated_osu035_cookbook_final_uart_tx.v","automated_osu035","v","uart",1536000330.34681,11,2,0
"automated_osu035_cookbook_final_unstable_counters",216,256,"./automated_osu035/automated_osu035_cookbook_final_unstable_counters.v","automated_osu035","v",,1536000330.45481,2,8,0
"automated_osu035_cookbook_final_vga_driver",440,820,"./automated_osu035/automated_osu035_cookbook_final_vga_driver.v","automated_osu035","v","vga, interface",1536000330.59081,32,55,0
"automated_osu035_cookbook_final_word_adder_plain",80,122,"./automated_osu035/automated_osu035_cookbook_final_word_adder_plain.v","automated_osu035","v","add, arithmetic",1536000330.67481,16,8,0
"automated_osu035_cookbook_final_word_align_control",97,219,"./automated_osu035/automated_osu035_cookbook_final_word_align_control.v","automated_osu035","v",,1536000330.7908,4,2,0
"automated_osu035_cookbook_final_ycbcr_to_rgb",1723,3685,"./automated_osu035/automated_osu035_cookbook_final_ycbcr_to_rgb.v","automated_osu035","v",,1536000330.9388,25,24,0
"automated_osu035_cpu8080_latest_final_alu",388,851,"./automated_osu035/automated_osu035_cpu8080_latest_final_alu.v","automated_osu035","v","alu, arithmetic, add, sub",1536250499.73093,20,13,0
"automated_osu035_cpu8080_latest_final_chrrom",1329,3171,"./automated_osu035/automated_osu035_cpu8080_latest_final_chrrom.v","automated_osu035","v","cpu, , rom, memory",1536250499.80293,11,8,0
"automated_osu035_cpu8080_latest_final_cpu8080",5198,12527,"./automated_osu035/automated_osu035_cpu8080_latest_final_cpu8080.v","automated_osu035","v","cpu, ",1536250500.05093,12,21,0
"automated_osu035_cpu8080_latest_final_intcontrol",393,941,"./automated_osu035/automated_osu035_cpu8080_latest_final_intcontrol.v","automated_osu035","v","cpu, ",1535963673.86769,25,1,0
"automated_osu035_cpu8080_latest_final_M8080",4755,11433,"./automated_osu035/automated_osu035_cpu8080_latest_final_M8080.v","automated_osu035","v","cpu, ",1536250500.29893,17,29,0
"automated_osu035_cpu8080_latest_final_ram",0,0,"./automated_osu035/automated_osu035_cpu8080_latest_final_ram.v","automated_osu035","v","ram, memory",1535963674.12369,23,0,0
"automated_osu035_cpu8080_latest_final_scnrom",245,557,"./automated_osu035/automated_osu035_cpu8080_latest_final_scnrom.v","automated_osu035","v","cpu, , rom, memory",1536250500.35093,8,8,0
"automated_osu035_cpu8080_latest_final_scnromu",277,641,"./automated_osu035/automated_osu035_cpu8080_latest_final_scnromu.v","automated_osu035","v","cpu, , rom, memory",1536250500.32693,8,8,0
"automated_osu035_cpu8080_latest_final_selectone",116,149,"./automated_osu035/automated_osu035_cpu8080_latest_final_selectone.v","automated_osu035","v","cpu, ",1535963674.27568,28,1,0
"automated_osu035_cpu8080_latest_final_SM8080",4766,11492,"./automated_osu035/automated_osu035_cpu8080_latest_final_SM8080.v","automated_osu035","v","cpu, ",1536250500.57892,12,21,0
"automated_osu035_cr_div_latest_final_cr_div",38732,90601,"./automated_osu035/automated_osu035_cr_div_latest_final_cr_div.v","automated_osu035","v","div, arithmetic",1536250751.90044,99,65,0
"automated_osu035_cr_div_latest_final_cr_div_tb",0,0,"./automated_osu035/automated_osu035_cr_div_latest_final_cr_div_tb.v","automated_osu035","v",,1536250749.93246,0,0,0
"DesignName",229,485,"./automated_osu035/automated_osu035_crcahb_latest_final_bit_reversal.v","automated_osu035","v","crc",1535963934.20922,34,32,0
"automated_osu035_crcahb_latest_final_crc_comb",87,125,"./automated_osu035/automated_osu035_crcahb_latest_final_crc_comb.v","automated_osu035","v",,1535963934.22522,24,8,0
"automated_osu035_crcahb_latest_final_crc_control_unit",142,297,"./automated_osu035/automated_osu035_crcahb_latest_final_crc_control_unit.v","automated_osu035","v",,1535963934.26922,6,11,0
"DesignName",4557,9353,"./automated_osu035/automated_osu035_crcahb_latest_final_crc_datapath.v","automated_osu035","v","crc",1535963934.46522,54,106,0
"DesignName",4813,10051,"./automated_osu035/automated_osu035_crcahb_latest_final_crc_ip.v","automated_osu035","v","crc",1535963934.72122,74,34,0
"DesignName",4682,9640,"./automated_osu035/automated_osu035_crcahb_latest_final_crc_unit.v","automated_osu035","v","crc",1535963935.04122,46,107,0
"DesignName",469,590,"./automated_osu035/automated_osu035_crcahb_latest_final_host_interface.v","automated_osu035","v","crc",1535963935.16921,181,78,0
"automated_osu035_csa_latest_final_led_cnt",55,109,"./automated_osu035/automated_osu035_csa_latest_final_led_cnt.v","automated_osu035","v",,1535711414.51921,3,8,0
"automated_osu035_csa_latest_final_usb_cnt",137,130,"./automated_osu035/automated_osu035_csa_latest_final_usb_cnt.v","automated_osu035","v",,1535711414.56321,37,42,0
"automated_osu035_des_latest_final_crp",1411,3151,"./automated_osu035/automated_osu035_des_latest_final_crp.v","automated_osu035","v","crypto, des",1542470582.07046,80,32,0
"automated_osu035_des_latest_final_des3",3897,9203,"./automated_osu035/automated_osu035_des_latest_final_des3.v","automated_osu035","v","des, crypto",1536250537.13056,240,64,0
"automated_osu035_des_latest_final_key_sel3",1992,4762,"./automated_osu035/automated_osu035_des_latest_final_key_sel3.v","automated_osu035","v","crypto, des",1536250537.23056,175,48,0
"automated_osu035_des_latest_final_key_selh",1082,2761,"./automated_osu035/automated_osu035_des_latest_final_key_selh.v","automated_osu035","v","crypto, des",1536250537.31456,61,48,0
"automated_osu035_des_latest_final_sbox1",152,364,"./automated_osu035/automated_osu035_des_latest_final_sbox1.v","automated_osu035","v","aes, crypto, sbox",1536250537.34256,6,4,0
"automated_osu035_des_latest_final_sbox1",152,360,"./automated_osu035/sboxes/automated_osu035_des_latest_final_sbox1.v","automated_osu035","v","aes, crypto, sbox",1521198115.98554,6,4,"{}"
"automated_osu035_des_latest_final_sbox2",148,349,"./automated_osu035/automated_osu035_des_latest_final_sbox2.v","automated_osu035","v","aes, crypto, sbox",1536250537.37056,6,4,0
"automated_osu035_des_latest_final_sbox2",138,320,"./automated_osu035/sboxes/automated_osu035_des_latest_final_sbox2.v","automated_osu035","v","aes, crypto, sbox",1521198115.98554,6,4,"{}"
"automated_osu035_des_latest_final_sbox3",146,331,"./automated_osu035/automated_osu035_des_latest_final_sbox3.v","automated_osu035","v","aes, crypto, sbox",1536250537.40256,6,4,0
"automated_osu035_des_latest_final_sbox3",136,308,"./automated_osu035/sboxes/automated_osu035_des_latest_final_sbox3.v","automated_osu035","v","aes, crypto, sbox",1521198115.98554,6,4,"{}"
"automated_osu035_des_latest_final_sbox4",151,350,"./automated_osu035/sboxes/automated_osu035_des_latest_final_sbox4.v","automated_osu035","v","aes, crypto, sbox",1521198115.98554,6,4,0
