file,#nodes,#edges,#inputs,#outputs,#XOR,#AND,#OR,avg_degree,is_connected
automated_nangate_ecg_latest_final_f3m_neg.gml,582,388,194,194,0,0,0,1.33,False
automated_nangate_cookbook_final_gearbox_66_32.gml,1035,2301,70,34,2,147,57,4.45,True
automated_nangate_tiny_tate_bilinear_pairing_latest_final_v0.gml,518,388,130,194,0,0,0,1.5,False
automated_nangate_present_encryptor_latest_final_substitutio.gml,496,944,64,64,32,32,48,3.81,False
automated_nangate_rs_5_3_gf256_latest_final_MULT_BY_ALPHA51.gml,36,40,8,8,12,0,12,2.22,True
automated_nangate_altor32_latest_final_soc_pif8.gml,1644,2019,304,369,0,40,49,2.46,False
automated_nangate_ft816float_latest_final_cntlz16.gml,64,104,16,5,0,5,15,3.25,True
automated_nangate_rsencoder_latest_final_GFADD.gml,40,32,16,8,8,0,8,1.6,False
automated_nangate_cavlc_latest_final_cavlc_fsm.gml,243,519,27,14,7,38,63,4.27,True
automated_nangate_a-z80_latest_final_decode_stat.gml,48,62,15,8,0,1,4,2.58,False
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult33.gml,38,43,8,8,10,0,13,2.26,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult140.gml,39,45,8,8,11,0,14,2.31,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult27.gml,38,44,8,8,14,0,14,2.32,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult154.gml,42,51,8,8,12,0,17,2.43,True
automated_nangate_minirisc_latest_final_cmp8_eq.gml,31,30,16,1,0,4,9,1.94,True
automated_nangate_edge_latest_final_div_unit.gml,6726,16506,64,64,775,937,2284,4.91,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult169.gml,46,60,8,8,16,0,22,2.61,True
automated_nangate_cookbook_final_gearbox_32_66.gml,1036,2351,36,74,11,107,97,4.54,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult155.gml,46,58,8,8,8,0,20,2.52,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult26.gml,35,38,8,8,11,0,11,2.17,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult141.gml,38,44,8,8,11,0,14,2.32,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult32.gml,38,44,8,8,10,0,14,2.32,True
automated_nangate_ft816float_latest_final_fpDecompos.gml,205,221,32,64,0,10,10,2.16,False
automated_nangate_m1_core_latest_final_m1_alu.gml,1392,3231,70,33,21,240,319,4.64,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult196.gml,39,46,8,8,13,0,15,2.36,True
automated_nangate_cookbook_final_inv_evolve_key_128.gml,2832,6848,136,128,136,816,884,4.84,True
automated_nangate_csa_latest_final_ledseg_cnt.gml,152,297,17,12,12,47,29,3.91,False
automated_nangate_cookbook_final_initial_permut.gml,192,128,64,64,0,0,0,1.33,False
automated_nangate_mem_ctrl_latest_final_mc_wb_if.gml,278,372,76,39,0,7,12,2.68,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult223.gml,36,40,8,8,9,0,12,2.22,True
automated_nangate_cookbook_final_gearbox_33_32.gml,730,1644,37,34,0,120,56,4.5,True
automated_nangate_Lightweight-Threshold-Implementations-master_final_p_keysch11.gml,887,1911,5,64,84,109,150,4.31,True
automated_nangate_sha256-master_final_sha256.gml,13018,32544,44,33,873,1884,2589,5.0,False
automated_nangate_fpu_latest_final_add_sub27.gml,479,897,55,28,35,83,136,3.75,True
automated_nangate_tiny_tate_bilinear_pairing_latest_final_select.gml,35,34,14,7,0,1,0,1.94,True
automated_nangate_jt51_latest_final_ramp_a_to.gml,139,292,2,16,13,17,42,4.2,True
automated_nangate_turbo8051_latest_final_wb_crossbar.gml,2205,4551,290,272,0,52,88,4.13,True
automated_nangate_cookbook_final_enc_64_67.gml,1565,3567,69,67,117,235,435,4.56,True
automated_nangate_double_fpu_latest_final_fpu_round.gml,1162,2196,73,76,0,82,146,3.78,True
automated_nangate_cookbook_final_gf_mult_by_e7.gml,48,64,8,8,20,0,24,2.67,True
automated_nangate_reed_solomon_codec_generator_latest_final_RsDecodePolymul.gml,6460,12894,364,177,1451,1676,1922,3.99,True
automated_nangate_rs_encoder_decoder_latest_final_GF8GenMultModB.gml,38,46,8,7,9,0,16,2.42,True
automated_nangate_cookbook_final_gf_mult_by_30.gml,39,46,8,8,13,0,15,2.36,True
automated_nangate_cookbook_final_gf_mult_by_24.gml,42,51,8,8,11,0,17,2.43,True
automated_nangate_iscas_final_s1488.gml,788,1519,9,19,0,350,200,3.86,True
automated_nangate_crcahb_latest_final_crc_com.gml,78,77,24,8,7,0,23,1.97,True
automated_nangate_Lightweight-Threshold-Implementations-master_final_lut_datapat.gml,17,16,8,1,2,2,4,1.88,True
automated_nangate_cookbook_final_gf_mult_by_2f.gml,42,52,8,8,15,0,18,2.48,True
automated_nangate_two_dimensional_fast_hartley_transform_latest_final_fht_1d_x8.gml,2215,5068,11,12,349,190,501,4.58,True
automated_nangate_cookbook_final_crc32_dat32_flat.gml,922,1633,64,32,585,0,775,3.54,True
automated_nangate_cookbook_final_gf_mult_by_08.gml,35,35,8,8,8,0,8,2.0,False
automated_nangate_cookbook_final_gf_mult_by_da.gml,38,44,8,8,9,0,14,2.32,True
automated_nangate_cookbook_final_test_patter.gml,100,188,3,16,13,8,25,3.76,True
automated_nangate_cookbook_final_gf_mult_by_20.gml,38,43,8,8,8,0,13,2.26,True
automated_nangate_cookbook_final_gf_mult_by_34.gml,42,52,8,8,18,0,18,2.48,True
automated_nangate_cookbook_final_error_mag_poly_round.gml,1970,3753,144,8,804,432,1171,3.81,True
automated_nangate_fpga-median_latest_final_media.gml,3306,7527,98,72,302,362,1068,4.55,True
automated_nangate_iscas_final_NR4.gml,7,6,4,1,0,0,1,1.71,True
automated_nangate_tiny_tate_bilinear_pairing_latest_final_f3m_add.gml,1940,3201,388,194,0,97,388,3.3,False
automated_nangate_turbo8051_latest_final_oc8051_sp.gml,193,372,26,16,8,30,30,3.85,True
automated_nangate_turbo8051_latest_final_oc8051_b_register.gml,115,233,21,8,0,12,19,4.05,True
automated_nangate_ecg_latest_final_f3m_mux3.gml,1595,1980,585,194,0,0,0,2.48,True
automated_nangate_aes-128_pipelined_encryption_latest_final_SubBytes.gml,9768,25543,131,129,0,2736,3712,5.23,True
automated_nangate_fpu_latest_final_delay3.gml,13,16,3,2,0,0,0,2.46,True
automated_nangate_mriscvcore_final_IRQ.gml,2616,5176,176,161,79,373,508,3.96,True
automated_nangate_iscas_final_BU.gml,3,2,1,1,0,0,0,1.33,True
automated_nangate_mriscv_final_bus_sync_sf.gml,395,652,35,32,0,66,32,3.3,True
automated_nangate_turbo8051_latest_final_oc8051_psw.gml,118,208,25,10,0,11,13,3.53,False
automated_nangate_aes-master_final_aes_cor.gml,18922,48219,390,130,1517,2500,5126,5.1,True
automated_nangate_m1_core_latest_final_fontmap_rom.gml,1904,5051,13,8,0,747,350,5.31,True
automated_nangate_cookbook_final_fec_rot_24.gml,201,267,32,32,70,0,98,2.66,True
automated_nangate_reed_solomon_decoder_latest_final_GF_mult_add_syndromes.gml,1767,4476,22,9,86,410,313,5.07,True
automated_nangate_cookbook_final_syndrome_round.gml,885,1334,137,128,302,0,338,3.01,True
automated_nangate_mriscvcore_final_MEMORY_INTERFACE.gml,1307,2135,173,179,43,100,180,3.27,False
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult186.gml,42,52,8,8,18,0,18,2.48,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult192.gml,38,44,8,8,9,0,14,2.32,True
automated_nangate_openmsp430_latest_final_omsp_dbg_i2.gml,401,865,32,25,2,45,54,4.31,True
automated_nangate_des_latest_final_crp.gml,959,2549,80,32,49,256,267,5.32,True
automated_nangate_ft816float_latest_final_delay4.gml,13,22,3,1,0,0,0,3.38,True
automated_nangate_cookbook_final_reset_control.gml,44,77,7,4,0,1,0,3.5,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult145.gml,40,48,8,8,16,0,16,2.4,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult151.gml,42,52,8,8,16,0,18,2.48,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult23.gml,34,36,8,8,10,0,10,2.12,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult37.gml,43,54,8,8,9,0,19,2.51,True
automated_nangate_mips_16_latest_final_data_mem.gml,14026,35644,26,16,0,31,802,5.08,True
automated_nangate_iscas_final_s444.gml,226,414,4,6,0,71,48,3.66,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult193.gml,39,45,8,8,11,0,14,2.31,True
automated_nangate_rs_decoder_31_19_6_latest_final_mux2_to_1.gml,26,25,11,5,0,0,0,1.92,True
automated_nangate_rs_5_3_gf256_latest_final_inv_gf256.gml,794,2043,8,8,0,123,358,5.15,True
automated_nangate_AES-T200_final_final_round.gml,10033,25792,257,128,128,3056,2976,5.14,True
automated_nangate_cookbook_final_fec_rot_31.gml,255,379,32,32,124,0,156,2.97,True
automated_nangate_iscas_final_FD1.gml,5,4,2,1,0,0,0,1.6,True
automated_nangate_apbtoaes128_latest_final_control_unit.gml,253,505,8,34,1,29,44,3.99,True
automated_nangate_jt51_latest_final_jt51_reg.gml,6023,14838,28,74,14,715,88,4.93,True
automated_nangate_orsoc_graphics_accelerator_final_div_uu.gml,2516,5618,26,18,123,365,607,4.47,True
automated_nangate_cr_div_latest_final_cr_di.gml,24486,58887,73,65,1832,3687,4645,4.81,True
automated_nangate_tiny_aes_latest_final_S.gml,603,1579,9,8,0,191,178,5.24,True
automated_nangate_mriscvcore_final_ALU_and.gml,204,234,66,32,0,64,0,2.29,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Dft_Idft.gml,13413,31955,12,8,5208,0,6314,4.76,True
automated_nangate_Lightweight-Threshold-Implementations-master_final_bitSpeck128_128_unpro.gml,86,195,2,3,3,16,19,4.53,False
automated_nangate_xge_mac_latest_final_rx_enqueu.gml,3712,7760,148,171,951,278,1475,4.18,False
automated_nangate_pairing_latest_final_func5.gml,598,419,194,196,0,1,4,1.4,False
automated_nangate_minirisc_latest_final_sfifo4x11.gml,174,358,14,11,0,0,0,4.11,True
automated_nangate_altor32_latest_final_altor32_noica.gml,419,634,69,70,1,18,9,3.03,False
automated_nangate_tiny_aes_latest_final_expand_key_type_A_192.gml,3855,8210,201,320,232,764,944,4.26,True
automated_nangate_cookbook_final_gf_invers.gml,794,2043,8,8,0,123,358,5.15,True
automated_nangate_cookbook_final_gf_mult_by_ed.gml,44,56,8,8,18,0,20,2.55,True
automated_nangate_cavlc_latest_final_cavlc_read_total_coeffs.gml,804,1974,27,19,6,125,136,4.91,True
automated_nangate_cookbook_final_gf_mult_by_21.gml,37,41,8,8,10,0,12,2.22,True
automated_nangate_cookbook_final_gf_mult_by_d6.gml,46,60,8,8,16,0,22,2.61,True
automated_nangate_cookbook_final_crc32c_zer64_flat.gml,424,713,32,32,245,0,321,3.36,True
automated_nangate_cookbook_final_gf_mult_by_e0.gml,40,48,8,8,12,0,16,2.4,True
automated_nangate_systemcaes_latest_final_word_mixcolum.gml,460,728,32,64,216,0,300,3.17,True
automated_nangate_cookbook_final_k_tabl.gml,1124,2802,7,64,0,355,402,4.99,True
automated_nangate_cookbook_final_gf_mult_by_3a.gml,41,50,8,8,14,0,17,2.44,True
automated_nangate_RSA-CRYPTOSYSTEM-using-verilog-master_final_divider.gml,459,960,26,25,26,73,107,4.18,True
automated_nangate_cookbook_final_gf_mult_by_d4.gml,44,56,8,8,15,0,20,2.55,True
automated_nangate_cookbook_final_gf_mult_by_37.gml,43,54,8,8,14,0,19,2.51,True
automated_nangate_iscas_final_s526.gml,235,503,4,6,0,77,63,4.28,True
automated_nangate_mriscvcore_final_divM.gml,381,852,35,1,60,69,134,4.47,True
automated_nangate_tiny_tate_bilinear_pairing_latest_final_pairing.gml,94124,237129,13,2,7,6490,3667,5.04,True
automated_nangate_iscas_final_s13207.gml,8990,12694,62,152,0,1902,598,2.82,False
automated_nangate_m1_core_latest_final_video_ram.gml,82656,211503,32,16,0,2062,3156,5.12,True
automated_nangate_turbo8051_latest_final_double_sync_low.gml,8,11,3,1,0,0,0,2.75,True
automated_nangate_m1_core_latest_final_ps2_translation_tabl.gml,435,1071,24,18,0,54,74,4.92,True
automated_nangate_md5_core-master_final_md5_ctl.gml,7699,18152,35,130,277,1090,1406,4.72,True
automated_nangate_fast_antilog_latest_final_AntiLog2.gml,618,1511,11,24,1,116,171,4.89,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult218.gml,35,38,8,8,11,0,11,2.17,True
automated_nangate_systemcaes_latest_final_aes.gml,7674,18157,260,129,636,560,1214,4.73,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult230.gml,42,51,8,8,11,0,17,2.43,True
automated_nangate_a-z80_latest_final_ir.gml,45,66,12,8,0,1,0,2.93,True
automated_nangate_aes_core_latest_final_aes_key_expand_128.gml,3492,8219,130,128,252,858,1171,4.71,True
automated_nangate_xge_mac_latest_final_generic_fifo.gml,1078,2433,38,36,20,12,46,4.51,True
automated_nangate_edge_latest_final_shifter_left.gml,303,574,37,32,0,25,15,3.79,True
automated_nangate_jt51_latest_final_jt51.gml,20129,47357,13,109,470,2860,2735,4.71,False
automated_nangate_openmsp430_latest_final_omsp_uart.gml,747,1798,37,19,15,87,119,4.81,True
automated_nangate_aes-master_final_aes_sbox.gml,2379,6285,32,32,0,773,732,5.28,False
automated_nangate_tiny_aes_latest_final_one_round.gml,20268,52923,257,128,640,6384,6272,5.22,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult185.gml,43,54,8,8,15,0,19,2.51,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult152.gml,43,54,8,8,11,0,19,2.51,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult21.gml,39,46,8,8,11,0,15,2.36,True
automated_nangate_Lightweight-Threshold-Implementations-master_final_quick_mux_128.gml,652,651,257,128,0,0,0,2.0,True
automated_nangate_mesi_isc_final_mesi_isc_breq_fifos_cntl.gml,764,1113,187,100,4,88,37,2.91,False
automated_nangate_cookbook_final_ecc_correction_32bit.gml,264,561,7,33,0,40,77,4.25,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult146.gml,39,46,8,8,9,0,15,2.36,True
automated_nangate_cavlc_latest_final_cavlc_len_g.gml,57,69,25,5,0,1,6,2.42,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult34.gml,35,38,8,8,11,0,11,2.17,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult147.gml,39,46,8,8,12,0,15,2.36,True
automated_nangate_aes_highthroughput_lowarea_latest_final_inv_mix_columns.gml,3504,5232,128,128,1856,0,1856,2.99,False
automated_nangate_dpll-isdn_latest_final_variableresetrandomwalkfilter.gml,221,524,3,2,11,39,67,4.74,True
automated_nangate_jt51_latest_final_jt51_op.gml,3372,7306,38,14,70,477,643,4.33,True
automated_nangate_hamming_latest_final_ham_7_4_d.gml,121,292,4,2,7,12,21,4.83,True
automated_nangate_Aquarius_latest_final_register.gml,3872,9349,84,96,4,76,286,4.83,True
automated_nangate_mips_16_latest_final_EX_stag.gml,232,268,24,41,0,0,38,2.31,True
automated_nangate_turbo8051_latest_final_half_dup_byte_reg.gml,50,64,18,8,0,0,0,2.56,True
automated_nangate_fpu_latest_final_delay1.gml,9,8,3,2,0,0,0,1.78,True
automated_nangate_cookbook_final_uart_tx.gml,164,353,11,2,0,32,30,4.3,True
automated_nangate_rs_encoder_decoder_latest_final_GF8Mult219.gml,35,38,8,8,11,0,11,2.17,True
automated_nangate_aes-128_pipelined_encryption_latest_final_Round.gml,11701,29634,260,129,449,2908,4589,5.07,True
automated_nangate_turbo8051_latest_final_sfifo.gml,1244,2958,24,10,0,31,32,4.76,True
automated_nangate_cookbook_final_fec_rot_n2112.gml,309,488,32,32,147,0,211,3.16,True
