file,#nodes,#edges,#inputs,#outputs,#XOR,#AND,#OR,avg_degree,is_connected
automated_gscl45nm_m32632_latest_final_SIGNMUL.gml,7522,14789,64,64,1405,2378,3853,3.93,True
automated_gscl45nm_cavlc_latest_final_cavlc_read_run_befores.gml,2120,4059,168,152,14,658,257,3.83,True
automated_gscl45nm_turbo8051_latest_final_oc8051_tc2.gml,557,1072,24,44,8,124,124,3.85,True
automated_gscl45nm_m32632_latest_final_DIVI_PREP.gml,382,630,36,39,39,51,156,3.3,True
automated_gscl45nm_cookbook_final_gf_mult_by_4.gml,41,50,8,8,8,0,17,2.44,True
automated_gscl45nm_turbo8051_latest_final_g_tx_fsm.gml,605,1109,51,35,16,180,106,3.67,True
automated_gscl45nm_cookbook_final_gf_mult_by_5.gml,43,54,8,8,4,0,19,2.51,True
automated_gscl45nm_8bit_vedic_multiplier_latest_final_vedic4x4.gml,127,203,8,8,40,50,53,3.2,True
automated_gscl45nm_cookbook_final_gf_mult_by_ff.gml,46,57,8,8,11,0,19,2.48,True
automated_gscl45nm_cookbook_final_gf_mult_by_07.gml,40,48,8,8,5,0,16,2.4,True
automated_gscl45nm_cookbook_final_gf_mult_by_13.gml,41,50,8,8,7,0,17,2.44,True
automated_gscl45nm_cookbook_final_gf_mult_by_d8.gml,36,39,8,8,4,0,11,2.17,True
automated_gscl45nm_cookbook_final_gf_mult_by_f0.gml,47,62,8,8,4,0,23,2.64,True
automated_gscl45nm_cookbook_final_gf_mult_by_0a.gml,36,40,8,8,8,0,12,2.22,True
automated_gscl45nm_csa_latest_final_usb_cnt.gml,91198,173550,192,64,8024,50306,32238,3.81,True
automated_gscl45nm_orsoc_graphics_accelerator_final_gfx_renderer.gml,3346,6389,163,68,368,1187,1356,3.82,True
automated_gscl45nm_iscas_final_Circuit74L85.gml,53,75,11,3,0,15,16,2.83,True
automated_gscl45nm_minirisc_latest_final_xilinx_mux8_1.gml,2,1,0,1,0,0,0,1.0,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult60.gml,44,55,8,8,11,0,19,2.5,True
automated_gscl45nm_fpu_latest_final_pre_norm_fmul.gml,563,838,68,64,32,114,152,2.98,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult74.gml,44,55,8,8,8,0,19,2.5,True
automated_gscl45nm_m32632_latest_final_ex_copro.gml,412,538,67,65,0,64,64,2.61,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult216.gml,42,51,8,8,8,0,17,2.43,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult202.gml,41,48,8,8,7,0,15,2.34,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult48.gml,35,37,8,8,6,0,10,2.11,True
automated_gscl45nm_rs_encoder_decoder_latest_final_RS8ErrLocPoly8t.gml,6776,11818,20,218,807,1744,2089,3.49,True
automated_gscl45nm_mriscvcore_final_ALU_add.gml,459,732,66,33,20,117,113,3.19,True
automated_gscl45nm_ft816float_latest_final_fpSqrt.gml,16427,33766,132,243,407,5416,2358,4.11,False
automated_gscl45nm_a-z80_latest_final_address_mux.gml,118,133,33,16,0,16,32,2.25,True
automated_gscl45nm_aes_core_latest_final_aes_sbox.gml,955,1920,8,8,0,337,500,4.02,True
automated_gscl45nm_xge_mac_latest_final_meta_sy.gml,7,8,3,1,0,0,0,2.29,True
automated_gscl45nm_xge_mac_latest_final_tx_data_fifo.gml,24611,51937,78,76,47,4531,2279,4.22,True
automated_gscl45nm_turbo8051_latest_final_oc8051_b_register.gml,175,301,21,8,0,74,41,3.44,True
automated_gscl45nm_aes_highthroughput_lowarea_latest_final_shift_rows.gml,384,256,128,128,0,0,0,1.33,False
automated_gscl45nm_iscas_final_s1488.gml,972,1703,9,19,0,494,240,3.5,True
automated_gscl45nm_rtf8088_latest_final_divr2.gml,1604,3244,70,50,58,401,233,4.04,True
automated_gscl45nm_mem_ctrl_latest_final_mc_top.gml,11340,21982,115,152,151,3604,2967,3.88,True
automated_gscl45nm_aes_highthroughput_lowarea_latest_final_MUL9.gml,56,65,8,8,17,0,17,2.32,True
automated_gscl45nm_minirisc_latest_final_cmp8_eq.gml,33,32,16,1,2,6,9,1.94,True
automated_gscl45nm_mriscv_final_AXI_SP32B1024.gml,573,806,95,81,0,73,77,2.81,False
automated_gscl45nm_ecg_latest_final_func11.gml,56112,103307,778,389,0,20261,13635,3.68,True
automated_gscl45nm_edge_latest_final_hazard_unit.gml,225,344,45,13,17,59,79,3.06,False
automated_gscl45nm_gost28147-89_latest_final_gost89_.gml,4342,6795,836,65,55,1438,1230,3.13,True
automated_gscl45nm_openmsp430_latest_final_ogfx_backend.gml,2613,5352,114,45,96,677,666,4.1,True
automated_gscl45nm_hight_latest_final_WKG.gml,238,270,66,32,1,64,34,2.27,True
automated_gscl45nm_cookbook_final_fec_rot_32.gml,258,387,32,32,64,0,161,3.0,True
automated_gscl45nm_cookbook_final_fec_rot_26.gml,212,296,32,32,43,0,116,2.79,True
automated_gscl45nm_turbo8051_latest_final_clk_ctl.gml,17,28,4,1,1,2,6,3.29,True
automated_gscl45nm_altor32_latest_final_soc_pif8.gml,1758,2129,304,369,0,331,277,2.42,False
automated_gscl45nm_turbo8051_latest_final_spi_ctl.gml,623,1105,66,48,12,160,114,3.55,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult148.gml,40,48,8,8,6,0,16,2.4,True
automated_gscl45nm_reed_solomon_decoder_latest_final_Omega_Phy.gml,4843,9969,228,193,138,1442,650,4.12,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult160.gml,43,52,8,8,12,0,17,2.42,True
automated_gscl45nm_8bit_vedic_multiplier_latest_final_vedic2x2.gml,20,24,4,4,2,6,2,2.4,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult174.gml,46,59,8,8,13,0,21,2.57,True
automated_gscl45nm_jt51_latest_final_jt51_op.gml,4223,7983,38,14,87,1038,1069,3.78,True
automated_gscl45nm_16x2_lcd_display_driver_latest_final_lcd_16x2_8bit.gml,202,380,12,11,9,49,40,3.76,True
automated_gscl45nm_cookbook_final_fec_rot_6.gml,120,112,32,32,16,0,24,1.87,False
automated_gscl45nm_jt51_latest_final_jt51_lfo_lfsr.gml,87,175,3,1,4,17,21,4.02,True
automated_gscl45nm_turbo8051_latest_final_bit_register.gml,11,12,4,1,0,1,2,2.18,True
automated_gscl45nm_cookbook_final_chain_delay_rand.gml,572,1166,2,11,2,171,158,4.08,True
automated_gscl45nm_mriscvcore_final_ALU_sXXx.gml,901,1755,40,97,0,114,103,3.9,True
automated_gscl45nm_cookbook_final_fec_rot_4.gml,112,96,32,32,12,0,16,1.71,False
automated_gscl45nm_minirisc_latest_final_xilinx_mux2_8.gml,16,8,0,8,0,0,0,1.0,False
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult189.gml,39,46,8,8,2,0,15,2.36,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult162.gml,45,57,8,8,13,0,20,2.53,True
automated_gscl45nm_altor32_latest_final_altor32_fet.gml,896,1556,69,113,31,230,115,3.47,False
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult176.gml,42,52,8,8,6,0,18,2.48,True
automated_gscl45nm_turbo8051_latest_final_stat_counter.gml,19,20,7,2,0,4,3,2.11,False
automated_gscl45nm_edge_latest_final_shift_unit.gml,1390,2714,39,32,0,577,392,3.91,True
automated_gscl45nm_ft816float_latest_final_cntlo64.gml,431,639,64,7,0,79,141,2.97,True
automated_gscl45nm_turbo8051_latest_final_wb_rd_mem2mem.gml,677,1274,36,47,4,166,113,3.76,True
automated_gscl45nm_AES-T1000_final_S4.gml,4042,7829,33,32,0,1508,2084,3.87,True
automated_gscl45nm_cpu8080_latest_final_cpu8080.gml,19,24,5,2,0,4,0,2.53,True
automated_gscl45nm_cookbook_final_fec_rot_30.gml,247,366,32,32,59,0,151,2.96,True
automated_gscl45nm_iscas_final_ND2.gml,5,4,2,1,0,1,0,1.6,True
automated_gscl45nm_xge_mac_latest_final_wishbone_if.gml,872,1392,159,39,0,244,216,3.19,True
automated_gscl45nm_cookbook_final_fec_rot_24.gml,194,260,32,32,31,0,98,2.68,True
automated_gscl45nm_sdr_ctrl_latest_final_sdrc_top.gml,24513,50134,778,389,0,6062,1574,4.09,True
automated_gscl45nm_jt51_latest_final_jt51_noise_lfsr.gml,108,195,3,1,1,43,29,3.61,True
automated_gscl45nm_Lightweight-Threshold-Implementations-master_final_simon_datapath_shiftreg.gml,494,943,6,7,7,25,19,3.82,True
automated_gscl45nm_Lightweight-Threshold-Implementations-master_final_quick_mux_128.gml,920,1047,257,128,0,128,256,2.28,True
automated_gscl45nm_AES-T1000_final_lfsr_counter.gml,164,265,23,20,1,21,5,3.23,True
automated_gscl45nm_cookbook_final_fec_rot_18.gml,158,188,32,32,29,0,62,2.38,True
automated_gscl45nm_edge_latest_final_ex_mem_pipereg.gml,2911,4224,335,330,0,990,330,2.9,True
automated_gscl45nm_xge_mac_latest_final_sync_clk_xgmii_tx.gml,17,24,5,3,0,0,0,2.82,True
automated_gscl45nm_sha3_latest_final_rconst.gml,210,187,24,64,0,0,58,1.78,False
automated_gscl45nm_cookbook_final_bin_to_ascii.gml,71,117,6,8,6,17,26,3.3,False
automated_gscl45nm_tiny_aes_latest_final_expand_key_128.gml,5174,9345,137,256,176,1508,2316,3.61,True
automated_gscl45nm_cookbook_final_prio_encod.gml,32,45,6,3,0,6,11,2.81,True
automated_gscl45nm_rs_encoder_decoder_latest_final_GF8Mult89.gml,47,62,8,8,11,0,23,2.64,True
automated_gscl45nm_gost28147-89_latest_final_gost89_ecb_encrypt.gml,3654,5480,835,65,55,1087,934,3.0,True
automated_gscl45nm_turbo8051_latest_final_half_dup_byte_reg.gml,74,96,18,8,0,8,16,2.59,True
automated_gscl45nm_reed_solomon_codec_generator_latest_final_RsDecodeI.gml,1177,2450,8,8,0,628,323,4.16,True
automated_gscl45nm_turbo8051_latest_final_g_md_intf.gml,379,740,32,21,3,61,30,3.91,True
automated_gscl45nm_cookbook_final_pipeline_add_ms.gml,271,459,42,21,14,43,69,3.39,True
