file,#nodes,#edges,#inputs,#outputs,#XOR,#AND,#OR,avg_degree,is_connected
automated_osu018_openmsp430_latest_final_ext_de1_sram.gml,1968,3704,16,16,188,1148,604,3.76,True
automated_osu018_aes_highthroughput_lowarea_latest_final_aes.gml,42228,91574,392,131,3020,6377,10854,4.34,True
automated_osu018_systemcaes_latest_final_aes192.gml,13347,31267,324,129,145,2351,1125,4.69,True
automated_osu018_chacha-master_final_chacha.gml,23054,51726,44,32,447,4156,4357,4.49,True
automated_osu018_aes-encryption_latest_final_aes_rco.gml,89,165,2,16,0,13,8,3.71,True
automated_osu018_openmsp430_latest_final_omsp_uart.gml,886,1978,37,19,1,166,89,4.47,True
automated_osu018_fixed_point_arithmetic_parameterized_latest_final_top.gml,1072,2147,66,32,15,151,179,4.01,True
automated_osu018_cookbook_final_insert_parity.gml,285,425,45,50,15,60,50,2.98,False
automated_osu018_i2c_latest_final_i2c_master_byte_ctrl.gml,797,1732,35,16,2,169,134,4.35,False
automated_osu018_a-z80_latest_final_pla_decod.gml,412,572,14,105,0,68,89,2.78,False
automated_osu018_RSA-CRYPTOSYSTEM-using-verilog-master_final_mod.gml,6596,15653,38,38,32,2312,708,4.75,True
automated_osu018_iscas_final_s713.gml,575,756,36,23,0,144,21,2.63,False
automated_osu018_rs_encoder_decoder_latest_final_GF8tmmult.gml,642,1150,3,8,8,153,87,3.58,True
automated_osu018_cookbook_final_arbiter.gml,235,393,32,16,9,43,59,3.34,True
automated_osu018_cavlc_latest_final_cavlc_read_levels.gml,2463,5531,33,149,6,202,363,4.49,True
automated_osu018_pairing_latest_final_duursma_lee_algo.gml,18,17,8,1,0,5,2,1.89,True
automated_osu018_cookbook_final_fec_rot_11.gml,154,180,32,32,26,8,41,2.34,True
automated_osu018_rs_encoder_decoder_latest_final_GF8Mult188.gml,75,124,8,8,2,13,23,3.31,True
automated_osu018_Lightweight-Threshold-Implementations-master_final_quick_mux_128.gml,913,1040,257,128,0,128,0,2.28,True
automated_osu018_tiny_tate_bilinear_pairing_latest_final_rom.gml,2841,6551,10,26,0,871,791,4.61,True
automated_osu018_rs_encoder_decoder_latest_final_GF8Mult177.gml,72,121,8,8,4,15,20,3.36,True
automated_osu018_AES-T200_final_expand_key_128.gml,4306,9457,137,256,152,908,860,4.39,True
automated_osu018_dpll-isdn_latest_final_variableresetrandomwalkfilter.gml,227,485,3,2,2,45,59,4.27,True
automated_osu018_rs_encoder_decoder_latest_final_GF8Mult163.gml,59,94,8,8,2,6,22,3.19,True
automated_osu018_cookbook_final_stream_mux.gml,113,161,24,12,0,18,8,2.85,True
automated_osu018_rs_encoder_decoder_latest_final_GF8Mult17.gml,61,95,8,8,7,10,22,3.11,True
automated_osu018_iscas_final_s1423.gml,790,1353,18,5,0,268,232,3.43,True
automated_osu018_ecg_latest_final_func10.gml,29960,62919,390,389,0,5464,2957,4.2,True
automated_osu018_cookbook_final_fec_rot_1.gml,128,100,32,32,4,0,4,1.56,False
automated_osu018_cookbook_final_gearbox_40_67.gml,1703,3846,43,68,0,479,90,4.52,True
automated_osu018_Lightweight-Threshold-Implementations-master_final_p_keysch11.gml,1123,2547,5,64,22,149,191,4.54,True
automated_osu018_trigonometric_functions_in_double_fpu_latest_final_top.gml,12508,28465,37,64,11,3875,3915,4.55,True
automated_osu018_aes-128_pipelined_encryption_latest_final_SubBytes.gml,11577,28600,131,129,0,2928,2400,4.94,True
automated_osu018_rs_encoder_decoder_latest_final_RS8FreqDecod.gml,66014,139344,11,10,3414,17871,11467,4.22,True
automated_osu018_RSA-Verilog-master_final_LED_Verilog.gml,161,309,1,8,5,39,43,3.84,True
automated_osu018_cookbook_final_reed_sol_rx.gml,32027,71580,12,19,538,6688,4303,4.47,False
automated_osu018_m1_core_latest_final_ps2_wb_if.gml,792,1535,38,62,0,146,54,3.88,True
automated_osu018_viterb_encoder_and_decoder_final_bmc011.gml,14,15,2,4,1,1,2,2.14,True
automated_osu018_ecg_latest_final_f3_add.gml,20,32,4,2,0,1,3,3.2,True
automated_osu018_cookbook_final_gearbox_20_22.gml,618,1373,23,23,0,123,85,4.44,True
automated_osu018_cookbook_final_gf_mult_by_60.gml,49,71,8,8,4,6,15,2.9,True
automated_osu018_systemcaes_latest_final_aes.gml,11055,25748,260,129,124,2012,825,4.66,True
automated_osu018_gng_latest_final_gng_smul_16_18_sadd_37.gml,4447,10650,72,38,46,1603,499,4.79,True
automated_osu018_edge_latest_final_adder.gml,391,597,65,33,19,53,104,3.05,True
automated_osu018_cookbook_final_gf_mult_by_74.gml,52,77,8,8,4,5,19,2.96,True
automated_osu018_cookbook_final_gf_mult_by_6f.gml,80,135,8,8,5,23,22,3.38,True
automated_osu018_cookbook_final_gf_mult_by_a3.gml,106,195,8,8,4,38,21,3.68,True
automated_osu018_a-z80_latest_final_reg_control.gml,122,157,24,23,0,13,14,2.57,False
automated_osu018_pairing_latest_final_f33m_mult3.gml,62643,125171,3494,1747,0,14184,4129,4.0,True
